content,content_stem,score,target
"Come with lots of other apps like wifi helper..... prompt you to install. 
How to disable it?",come lot app like wifi helper prompt instal disabl,1,1
"Shoppee coins are a scam. I had coins expiring, when trying to use it as guided in the app, there are no items to buy. I write to support and there is no response after 6 days. I am uninstalling the app",coin scam coin expir tri use guid buy write support respons day uninstal,1,1
great bargains found!,great bargain found,5,0
"im malaysian but in my play store , it was shoppe singapore . please fix this , I HATE THIS BCAUSE I CANT USE SHOPPE",im malaysian play store shopp singapor pleas fix hate bcaus cant use shopp,1,1
Good for sales.,good sale,4,0
Good condition.. fast delivery,good condit fast deliveri,5,0
Shopee Suck. SUPPORT SELLER THAT DELIVER TO BUYER DAMAGE PRODUCT. EVENTHOUGH BUYER PROVIDE PHOTOS OF DAMAGE PRODUCT RECEIVED. AVOID SHOPEE APPS,suck support deliv buyer damag product eventhough buyer provid photo damag product receiv avoid app,1,1
Shopping on Shopee is convenient and also good deal. As large and bulky items get delivered to doorstep within a few days.,shop conveni also good deal larg bulki get deliv doorstep within day,3,1
Can do better,better,4,0
I can't log in,log,1,1
Great platform. Love the free shipping option the most!,great platform love free ship option,5,0
Hated the way shopee would just release the money after a certain period to seller even without buyer receiving the items yet as I have to constantly check if the items have reached the add plus an incident whn I bought from a seller but the seller didn't disclore full details and in the end it couldn't be used..went to email to shopee but they just ask me to ask the seller myself and without checking on any progress shopee just close the case aftr some time..srsly cld improve alot on cust serv,hate way would releas money certain period even without buyer receiv yet constantli check reach add plu incid whn bought disclor full detail end use went email ask ask without check progress close case aftr time srsli cld improv alot cust serv,1,1
"$1 big prize only i can't believe, otherwise good.",big prize believ otherwis good,4,0
Many choices and varieties. Easy to make purchases and sellers are friendly.,mani choic varieti easi make purchas friendli,5,0
"Very efficient app to use for online purchase...very detail app and informative.. best is it support local seller, online orders delivery made real quick and hassle free. :)",effici use onlin purchas detail inform best support local onlin order deliveri made real quick hassl free,5,0
Great shopping experience with Shopee,great shop experi,5,0
Hi shoppe I have problem processing my payment always say tap to load again I can't process my payment hope u help me to this problem thanks,hi shopp problem process payment alway say tap load process payment hope u help problem thank,3,1
Customer service cannot make it...,custom servic cannot make,1,1
Can many items here cheaper than other places,mani cheaper place,4,0
"Very reliable transaction of purchases. You only need to clear payment to the seller upon receipt of the good. If you are not satisfied with the good, you can demand for a refund. Further, if the good is not shipped out by the seller according to the scheduled date or you do not receive the good in time, Shopee will give you a refund.",reliabl transact purchas need clear payment upon receipt good satisfi good demand refund good ship accord schedul date receiv good time give refund,5,0
So far so good. Easy to use platform and products quality usually match its value.,far good easi use platform product qualiti usual match valu,5,0
"I'm happy having this! Those things i need are and very affordable, it's so easy to use and very convenient like me as a working mum that got no enough time for shopping. Tried few online shopping app, but i ended up disappointed only.. Shopee completed my my very own likes when it comes to an online shopping.. Thanks Shopee! 😊😊",happi thing need afford easi use conveni like work mum got enough time shop tri onlin shop end disappoint complet like come onlin shop thank,5,0
Happy with the apps. Can save alit of money,happi app save alit money,4,0
v good,v good,5,0
Reliable 👍🏾,reliabl,5,0
"after the updates I can't find any fish tank accessories anymore!!! pls fix 
it!!",updat find fish tank accessori anymor pl fix,2,1
Shopee assists in disputes between seller and shopper.,assist disput shopper,4,0
Shopee have alot of variety things to see and buy. It is awesome. The price is great too.,alot varieti thing see buy awesom price great,5,0
Good experience. TQ,good experi tq,5,0
Affordable products with lucky chances,afford product lucki chanc,5,0
"I was an avid supporter of another online shopping brand. But with Shopee, the option to confirm a sale after delivery is done is much better. Atleast we can ""try out"" the items we ordered and have the ability to confirm or make a return of that certain item. Great job Shopee team!",avid support anoth onlin shop brand option confirm sale deliveri done much better atleast tri order abil confirm make return certain great job team,5,0
"Latee , Shop at sg order from china great",late shop sg order china great,1,1
Good,good,5,0
the app not loading and always appear shopping jam?,load alway appear shop jam,1,1
Lagging abit if not 5 star,lag abit star,4,0
"After current update,shopee keep on crushing and hang...Please look into it. Not only focus on your compliment comment,need to FOCUS on your problem issue as well!!!",current updat keep crush hang pleas look focu compliment comment need focu problem issu well,1,1
"Realy enjoy at the app, frenly & easy",reali enjoy frenli easi,4,0
"Excellent app, love to buy things from shore. Things up, all the items are affordable.",excel love buy thing shore thing afford,4,0
1 of my favorite online shopping platform as the shipping is cheap and alot of seller offers free shipping.,favorit onlin shop platform ship cheap alot offer free ship,5,0
Great app. Easy to use and intuitive. But tend to crash during big sale periods,great easi use intuit tend crash big sale period,4,0
All the items which I've liked DID NOT show up on My Likes and its very tedious to trace them again because I literally searched for hours and there's quite a number of them. The app wasn't so buggy back then but what happened lol,like show like tediou trace liter search hour quit number buggi back happen lol,2,1
"Keeps spamming push notifications on my phone about ads, seller promotion, etc even though I've uncheck those notifications in the app settings. I wanted to leave order updates and chat notifications on, but it looks like I have to turn off the entire notification setting, due to their broken setting selection. Very spammy, as I get 2 to 3 spam notifications from the app everyday. Please fix it",keep spam push notif phone ad promot etc even though uncheck notif set want leav order updat chat notif look like turn entir notif set due broken set select spammi get spam notif everyday pleas fix,1,1
Its definitely a trustable shopping app,definit trustabl shop,5,0
great shopping app. has everything you are looking for and the payments are secure which is the most important,great shop everyth look payment secur import,5,0
Vary let deliver. Product also vary poor,vari let deliv product also vari poor,1,1
"Easy to use, but have to really search more to look for products.",easi use realli search look product,4,0
Great app to buy stuff. Rate 4 star as recently my Shopee coin suddenly went disappear :(,great buy stuff rate star recent coin suddenli went disappear,4,0
Shopee is an awesome product. The UI can be very confusing and loud though. But I see it's appeal and brand identity.,awesom product ui confus loud though see appeal brand ident,4,0
So far so good...,far good,4,0
message and notifications needs to be deleted 1 by 1. it's frustrating considering the large amount of promotions message,messag notif need delet frustrat consid larg amount promot messag,2,1
Why shopee is not available in my country I can't download it.,avail countri download,2,1
Easy to use app for quick buys. Items are of good quality! :),easi use quick buy good qualiti,5,0
Good good....,good good,5,0
Fast and reliable,fast reliabl,4,0
I wouldnt use shopee ever again. Ordered a boot mat for my car got sent a roll of sticky tape. It took forever to get the refund and now I want to delete my account they are telling me I have a shipment sent to me waiting for payment. If they actually look they will see I have no orders and the one shipment I was sent that was wrong has been refunded. All I want is to delete the account. My advice DO NOT USE SHOPEE!!!!!,wouldnt use ever order boot mat car got sent roll sticki tape took forev get refund want delet account tell shipment sent wait payment actual look see order one shipment sent wrong refund want delet account advic use,1,1
"Overall a good experience with responsive support via live chat. However, still need some time to familiarise with features & interface as I'm too used to my previous shopping app from another company. As I read the reviews by others, I'm reminded of the problem I encountered frequently - app would hang randomly and I'd to close/open for it to work. This would be my only gripe for now.",overal good experi respons support via live chat howev still need time familiaris featur interfac use previou shop anoth compani read review other remind problem encount frequent would hang randomli close open work would gripe,4,0
Good,good,5,0
"Everytime there is an event, the app can't handle it. Keeps telling me my cart is empty while checking out. So frustrating!",everytim event handl keep tell cart empti check frustrat,3,1
looking for Malaysia app to download dont have is this only for sg,look malaysia download dont sg,1,1
Nice app.. User friendly and alot ways to earn rebate vouchers.,nice user friendli alot way earn rebat voucher,5,0
Over good experience however i am using samsung a50 to browse the app. Sometimes if i browse too many pages. The app might get abit laggy.,good experi howev use samsung brows sometim brows mani page might get abit laggi,4,0
Love every purchase from most seller,love everi purchas,5,0
This app sucks like hell. Just downloaded it and it keeps loading and does not show any content when I search for an item. And please stop saying that you are facing some technical issues and that it is fine now cos it never was,suck like hell download keep load show content search pleas stop say face technic issu fine co never,1,1
Good apps,good app,4,0
"The Cart. Select All is limited to 20 now. Can it Not be auto selected? OR allow to Unselect All? Cos if we only want 1 or 2 items in cart, we need to manually unselect one by one.",cart select limit auto select allow unselect co want cart need manual unselect one one,4,0
unable to use app after the recent update. can't even see the homepage. white screen all the way.,unabl use recent updat even see homepag white screen way,1,1
"Delivery was timely, products are of good quality :)",deliveri time product good qualiti,5,0
Easy to use,easi use,4,0
Easy N fast,easi n fast,5,0
Easy to use,easi use,5,0
Glitch,glitch,1,1
customer service is so illogical and inefficient. How do you expect customer to video an audio dysfunction from an in-ear earphones?,custom servic illog ineffici expect custom video audio dysfunct ear earphon,1,1
Getting a refund is a hassle.,get refund hassl,3,1
Easy and simple to use will recommend to my friends and family to use Shopee,easi simpl use recommend friend famili use,5,0
Good Store app but needs work. Is annoying to see an ad product mistakenly as an actual product from the search. For the ad logo need to be red or orange than Gray colour to let the user/customers know that it's an ad.,good store need work annoy see ad product mistakenli actual product search ad logo need red orang gray colour let user custom know ad,4,0
One of the most reliable shopping app!!!,one reliabl shop,5,0
Conveniently shop by clicking,conveni shop click,5,0
A variety of choices,varieti choic,4,0
It's an easy breeze to shop on shopee. U can find really good bargain deals.,easi breez shop u find realli good bargain deal,4,0
Good platform to source for items @ reasonable offers by sellers!,good platform sourc reason offer,5,0
App suddenly stopped working and I can't log in!,suddenli stop work log,2,1
Easy to use. Wide range of products and great discounts. I just noticed that the app slows down when you keep on browsing for a long time. I have to close it and start again.,easi use wide rang product great discount notic slow keep brows long time close start,4,0
"It has numerous items and the items are up to date and nice in designs. The prices are also very reasonable and I can always find value for money items. It is a great shopping experience. Especially when the festive seasons are near and you need to buy gifts, I can always turn to Shoppee to browse through the great variety of items to find the value for money items. They are also very quick in responding to issues related to purchase and return. I would recommend Shoppee to friends and buyers",numer date nice design price also reason alway find valu money great shop experi especi festiv season near need buy gift alway turn brows great varieti find valu money also quick respond issu relat purchas return would recommend friend buyer,4,0
Simply awesome...Online shopping hav nvr been easier n cheaper at times...,simpli awesom onlin shop hav nvr easier n cheaper time,5,0
Wide varieties of products.,wide varieti product,5,0
To not like the the ninja van,like ninja van,1,1
Great deals so far and easy transaction. No bad encounter yet (never i hope),great deal far easi transact encount yet never hope,4,0
Gooooooood app!,gooooooood,5,0
I give 5 star for Shopee Malaysia but only 3 star for shopee Singapore coz in Malaysia we can receive our parcel much more faster than in Singapore. I wonder why.,give star malaysia star singapor coz malaysia receiv parcel much faster singapor wonder,3,1
Huge variety with great prices. The whole shopping experience is easy👍,huge varieti great price whole shop experi easi,5,0
Easy to use and have many great offer,easi use mani great offer,5,0
can you change it to PESO₱?,chang peso,4,0
wonderful,wonder,5,0
"I use to buy things from Wish, just found Shopee recently and I really love it..have compared the same kind of items I bought from Wish & Shopee, Shopee's pricing mostly cheaper & the quality is better.",use buy thing wish found recent realli love compar kind bought wish price mostli cheaper qualiti better,5,0
Easy to use app.,easi use,4,0
"Just downloaded the app few weeks ago, when try to open it's just keep 
loading for long time. I need to check the updates on my item. Please fix 
the issue.!",download week ago tri open keep load long time need check updat pleas fix issu,3,1
Useful to find nick nacks,use find nick nack,4,0
Can't do the payment,payment,2,1
"I didnt use the app at all but downloaded because someone asked me to. It sends push notifications in the middle of the night, sometimes 12am, sometimes 130am, and alerts with a very loud ""SHOPPEE!!!"" and wakes up my infant. Sounds more like ""SHOCKING!!!"" than anything else. I'm deleting the app because of this. Sorry.",didnt use download someon ask send push notif middl night sometim sometim alert loud wake infant sound like shock anyth els delet sorri,2,1
Can not install shopee apps. Installation seems like hang. I had already submit my order and paid with debit card but not sure whether it has been completely submitted or not. Next it asked for verification of handphone number with verification code. Done multiple times but verification code never exist. Keep checked in messages and email still no verification appear.,instal app instal seem like hang alreadi submit order paid debit card sure whether complet submit next ask verif handphon number verif code done multipl time verif code never exist keep check messag email still verif appear,1,1
"Games page still crashing, it's been so many hours, Shopee developers sleeping is it? Hopeless!",game page still crash mani hour develop sleep hopeless,1,1
A good app that can check with the seller. Most of the item i bought came in good and nice package.,good check bought came good nice packag,5,0
"Can find lots of products with very reasonable price, mostly free shipping.",find lot product reason price mostli free ship,5,0
"Great to use shopping app. Unfortunately, some sellers r terrible and did not adhere strictly to what was being promised, leading to terrible user experience. The team at Shopee SG did not do anything when receiving complaints",great use shop unfortun r terribl adher strictli promis lead terribl user experi team sg anyth receiv complaint,3,1
"Fast response, fast delivery and good quality. Thank you",fast respons fast deliveri good qualiti thank,5,0
Fair to both buyer and seller.,fair buyer,4,0
Can be trusted.,trust,5,0
Good platform for online shopping!,good platform onlin shop,5,0
Loads of variety products available but have to be careful when choosing items.,load varieti product avail care choos,5,0
Why is the app alwys laggy? It always gets stuck and then doesnt even fully load. ☹️,alwi laggi alway get stuck doesnt even fulli load,2,1
"great platform, and easy to purchase products from.",great platform easi purchas product,4,0
Okkkkk,okkkkk,3,1
Full of bugssss Can't validate phone number Hard to key in card detail,full bugssss valid phone number hard key card detail,1,1
Shopee has improved. More on the cards,improv card,3,1
Great place to find things I want and compare prices between different sellers.,great place find thing want compar price differ,5,0
complete replica of lazada. lazada do what they just follow. Anyway no harm lost shoppers have more choices with this 2 platforms. just hope u guys have your own ideas,complet replica lazada lazada follow anyway harm lost shopper choic platform hope u guy idea,3,1
"I need to add shipping address, but i tried via app, web browser, PC...none works. Even tried amending and deleting the default address but nothing seems to work too. There doesn't seem to be an in-app option to to report bugs. Pls rectify. Thanks.",need add ship address tri via web browser pc none work even tri amend delet default address noth seem work seem option report bug pl rectifi thank,2,1
Good & easy to use it,good easi use,4,0
Recently been unable to sort items by price.,recent unabl sort price,4,0
"Easy to use, and largely error free. Good range of products to suit all budgets.",easi use larg error free good rang product suit budget,5,0
Good,good,4,0
"This time, though we have clicked on ""Update"", it keeps coming back to ""Update"" instead of ""Open"". This error is repeatedly happening so we can't update Shopee.",time though click updat keep come back updat instead open error repeatedli happen updat,1,1
Best shopping app. Collect shopee points and rarely dissapoints. Always read reviews and interact with seller when in doubt.,best shop collect point rare dissapoint alway read review interact doubt,5,0
"App is so slow , it's not working properly, can't surf for long.",slow work properli surf long,2,1
Good shopping experience! Price is cheaper than others platform. More discount voucher you can get. Refund is supportive. Buyer protection!,good shop experi price cheaper other platform discount voucher get refund support buyer protect,5,0
Good.,good,5,0
Good.,good,4,0
First started quite long ago this is crappy app hyt now I've been using alot and shops like mad using Shoppee! Can get most of the cheapest things in market via Shoppee.,first start quit long ago crappi hyt use alot shop like mad use get cheapest thing market via,5,0
"Easy to use, transaction payment smooth. Encounter screen frozen with Flash sales many occasions.",easi use transact payment smooth encount screen frozen flash sale mani occas,4,0
So far my purchases received are in good condition,far purchas receiv good condit,5,0
Worst customer service,worst custom servic,1,1
Wonderful,wonder,5,0
Overall easy to use and navigate. What's not positive is the dollar earning system. Lots of long pending dollar earned which doesn't even get credited to the account despite not having any issue. I have spent reasonable amount of purchases via Shoppee but hardly a dollar earned and you can't withdraw the as the min withdrawal is $10.,overal easi use navig posit dollar earn system lot long pend dollar earn even get credit account despit issu spent reason amount purchas via hardli dollar earn withdraw min withdraw,4,0
very laggy,laggi,3,1
Shopping at shopee is easy and straightforward. Price reflected is usually the same minus delivery charge if there is any.,shop easi straightforward price reflect usual minu deliveri charg,4,0
Love it. But today I couldn't get into my cart. It keeps crashing. What's going on? I need to get my items especially my daughter's diaper. Please fix it. Thank you.,love today get cart keep crash go need get especi daughter diaper pleas fix thank,3,1
Great app with cheap deals and many discounts. Only issue is i am not sure if the products are real/fake sometimes. Shipping is fast and free.,great cheap deal mani discount issu sure product real fake sometim ship fast free,4,0
Works well as intended but it runs very slow on my phone,work well intend run slow phone,3,1
I cannot even ship out my order,cannot even ship order,1,1
Great product for best price. Thanks 😊,great product best price thank,5,0
Enjoying my shopping since staying home and cannot go out due to CB.,enjoy shop sinc stay home cannot go due cb,5,0
Lousy customer service.. Doesn't protect their customers..,lousi custom servic protect custom,1,1
Good,good,4,0
Too long loading the image,long load imag,1,1
"When I search for a product other products are appearing sometimes, how can I change it to peso sign to know how much it is in our country.",search product product appear sometim chang peso sign know much countri,1,1
"Sucks la the app, the UI seriously damn dumb, what for have payment page when people not going to pay at 7-11 or cheers, the stupid payment page is just a scam so less people can use vouchers and coupon codes cos once you're in it, going back means your vouchers and coupon codes applied are gone already. Raise query, say will get back within 1 day but after 1 week already still no word from Shopee. Worse service ever. I deleted the app and once I receive all my items, I'm deleting my account.",suck la ui serious damn dumb payment page peopl go pay cheer stupid payment page scam less peopl use voucher coupon code co go back mean voucher coupon code appli gone alreadi rais queri say get back within day week alreadi still word wors servic ever delet receiv delet account,1,1
Definitely a great platform for online shopping and hope that more varieties to choose from!!,definit great platform onlin shop hope varieti choos,4,0
I take few day to received.,take day receiv,4,0
Shopper is my favourite online shopping platform. Users friendly with good deals especially secure with shopper guarantees. Keep up the good work shoppee team.,shopper favourit onlin shop platform user friendli good deal especi secur shopper guarante keep good work team,5,0
I can swic to Indonesia,swic indonesia,1,1
App keeps closing.,keep close,1,1
Things are not showing out promptly. Refreshing and restart app multiple times but same problem still occurring. Even come to the Cart list all the way to payment tab also cant show in a proper alignment. I keep going back and forth but halfway through it got stucked. Bcos of all these i missed Citi rewards discount. Hope to act on this asap. I believe im not the only one affected.,thing show promptli refresh restart multipl time problem still occur even come cart list way payment tab also cant show proper align keep go back forth halfway got stuck bco miss citi reward discount hope act asap believ im one affect,2,1
"I will like this app better if I can use up to 6k shopee coin to offset 30% of the purchase. Reason being that the all day vouchers is set at 10% to the cap of $20. Meaning it encourages user to spent $200 to hit the cap. And the use of shopee coin is set at 30% to a cap of $10 or 1k shoppee coins. That is how i come up to 6k shopee coin as 30% of $200 is $60 or 6k shopee coins. In my opinion, it is more reward to shop at shopee if purchase is upto $30.",like better use k coin offset purchas reason day voucher set cap mean encourag user spent hit cap use coin set cap k coin come k coin k coin opinion reward shop purchas upto,3,1
Great time shopping from home ... convenient and reliable...,great time shop home conveni reliabl,5,0
Great application to get discounted purchases.,great applic get discount purchas,5,0
You did not make it clear that you need to checkout the welcome gift with your first purchase. I found out too late when i already checkout my 1st purchase. Then your chat agent told me you can't make an exception and re-enable the option for me to claim my welcome gift. What kind of customer service is this?,make clear need checkout welcom gift first purchas found late alreadi checkout st purchas chat agent told make except enabl option claim welcom gift kind custom servic,1,1
"Easy-use App and quite a reliable platform with tracking on each payment, each order submission and shipping information. Money will only be released to seller after goods are rec'd and well confirmed by buyer. Coins reward that encourages user to comment so as we users can read others' review before purchases.",easi use quit reliabl platform track payment order submiss ship inform money releas good rec well confirm buyer coin reward encourag user comment user read other review purchas,4,0
"Not good, gives trouble to the costomer case make very complicated when ask for refund all sellers are not honest.",good give troubl costom case make complic ask refund honest,1,1
Very good item and fast delivery...cheap price with discount...,good fast deliveri cheap price discount,5,0
App crashes when user tries to refund cannot get a refund from irresponsible seller. Shopee please take action,crash user tri refund cannot get refund irrespons pleas take action,2,1
Nice and simple app for on-line purchases,nice simpl line purchas,4,0
Got logged out and it has been a few hours I still can't log in back. How am I suppose to shop then? :( Wanted to get something under Flash Deals and now I can't. Please fix this a.s.a.p. thanks.,got log hour still log back suppos shop want get someth flash deal pleas fix p thank,3,1
"App is very easy to use, makes the whole shopping experience enjoyable!",easi use make whole shop experi enjoy,5,0
Overall a good plarform to do online shopping,overal good plarform onlin shop,4,0
most of the items are cheaper than lazada.,cheaper lazada,5,0
Overall shopping was satisfactory and pleasant except for a few hiccups with afew sellers. Hopefully I dont get another sudden unreasonable cancellation by seller when shopping during flash deals. Glad that shopee reinstated my order in the shortest time. I never give max ratings for services as I always believe there is still room for improvement thus 4 stars. Thank you!,overal shop satisfactori pleasant except hiccup afew hope dont get anoth sudden unreason cancel shop flash deal glad reinstat order shortest time never give max rate servic alway believ still room improv thu star thank,4,0
APP GLITCHY. UNINSTALLING.,glitchi uninstal,1,1
"Very good and variety items. Recently noticed that Shoppe frequently lag and will hang. Must exit the apps n go in again. Overall experience is still good, hope this small issues can be resolved ..",good varieti recent notic shopp frequent lag hang must exit app n go overal experi still good hope small issu resolv,5,0
A good place to shop,good place shop,3,1
Easy breezy,easi breezi,5,0
Got a variety of items to scroll thru.,got varieti scroll thru,4,0
Great shopping app and mostly the items that I want can be found. Thx,great shop mostli want found thx,5,0
"Not able to use my HSBC Visa Platinum Credit Card to make purchases. My Bank has checked, there is no issue with my credit card. They even issue a new card to me, but still not able to use.",abl use hsbc visa platinum credit card make purchas bank check issu credit card even issu new card still abl use,1,1
It's easy shopping at shopee.. love it.,easi shop love,4,0
Great platform to purchase as the app team will extend their helping hands when u encounter any issue. Their responsiveness act will ready create a sunny day for u. Cheers,great platform purchas team extend help hand u encount issu respons act readi creat sunni day u cheer,5,0
The platform may be good but the vendors are irresponsible. They do not update that there will be delay or something in regards to the item ordered. Some vendors don't even response quickly.,platform may good vendor irrespons updat delay someth regard order vendor even respons quickli,1,1
"I used it the past few days and it was okay. Yesterday the promo code didn't work and today, it wouldn't load anything please fix it",use past day okay yesterday promo code work today load anyth pleas fix,3,1
Mostly pleasant experience except one thing. I cannot zoom out or perhaps pinch outwards to expand the picture or the wordings in the selection screen. This is necessary because especially some pictures or words are really small plus sometimes we need to see the finer details in the picture.,mostli pleasant experi except one thing cannot zoom perhap pinch outward expand pictur word select screen necessari especi pictur word realli small plu sometim need see finer detail pictur,4,0
Supe,supe,5,0
Refund and returns can be improved. Must able to give rating to seller for returns or refund order.,refund return improv must abl give rate return refund order,3,1
Great discounts. Deals can be found with some searching & patience! ^_^,great discount deal found search patienc,5,0
"Got kicked out from the app, have to log in again but still buffering. Error messages keeps popping up. What's going on?",got kick log still buffer error messag keep pop go,5,0
Some sellers are unreliable.I didn't get my parcel but the seller didn't response. Terrible!!,unreli get parcel respons terribl,1,1
"I had to get my ears surgically removed after listening to their Shopee-pee-pee-pee advert on YouTube, but I still hear it in my sleep. I think I'm slowly going insane.",get ear surgic remov listen pee pee pee advert youtub still hear sleep think slowli go insan,1,1
"Couldn't load a single thing on the app, missed the promo.",load singl thing miss promo,1,1
"Wide range of items, some r unique.",wide rang r uniqu,5,0
Somethings are cheap but some are not.,someth cheap,4,0
getting worse,get wors,1,1
User friendly App; good service on ordering and delivery.,user friendli good servic order deliveri,5,0
"Great way to shop without leaving home. All orders have been delivered in a timely manner. If goods are not received by a particular date, a refund is effected. Takes away the uncertainty of online shopping.",great way shop without leav home order deliv time manner good receiv particular date refund effect take away uncertainti onlin shop,5,0
Friendly navigation. Downside is the description can be more detail with pictures. Overall still great app to use 👍,friendli navig downsid descript detail pictur overal still great use,4,0
some reviews were censored. mostly faked review. others then that the price is good especially low delivery costs. buying no brand item pls be cautious.,review censor mostli fake review other price good especi low deliveri cost buy brand pl cautiou,2,1
Unbeliveble . Lousy .not responsible . Hoax . I bery very not recomend this . Very bad . I order the thing i never get it . I contact seller they say delivery ready .,unbelivebl lousi respons hoax beri recomend order thing never get contact say deliveri readi,1,1
thumbs up,thumb,4,0
I must say it's an enjoyable experience shopping this time during pandemic situation. Logging in daily to search for best deals and etc for the past couple of months. But i have concern and it is frustrating. 1. The app is totally lagging and crash even during check out. 2. It has been happening every single day. Nothing wrong with device which i use brand new Note 10+. Please fix this bug so not to jeopardise shoppers' experience.,must say enjoy experi shop time pandem situat log daili search best deal etc past coupl month concern frustrat total lag crash even check happen everi singl day noth wrong devic use brand new note pleas fix bug jeopardis shopper experi,3,1
Great App and I love shopping buying things here. Worse experience bad delivery company that self declared items delivered with their own signature but item not received. I don't want to lose a great online shopping app. Please do look into it seriously,great love shop buy thing wors experi deliveri compani self declar deliv signatur receiv want lose great onlin shop pleas look serious,2,1
Payment always have error especially for the 1 dollar buy and promotions,payment alway error especi dollar buy promot,1,1
Easy to find my stuff on the app. & have never disappoint me,easi find stuff never disappoint,5,0
"Excellent service. Due to office closure during covid 19, I am not able to recd item. Shopper actually called to have my residential address for delivery! Brighten up my day. Thanks",excel servic due offic closur covid abl recd shopper actual call residenti address deliveri brighten day thank,5,0
Good,good,4,0
Very bad product.. They are cheating.. Not worth of money..,product cheat worth money,1,1
"Fun games with free drinks, food and coins. Excellent 👍",fun game free drink food coin excel,5,0
Great but lagging at times.,great lag time,4,0
Inconsiderate customer service. They suddenly changed the minimum spending (in fine print) from $25 to $35 and refused to refund me even though there are no terms and conditions saying that it is non-refundable.,inconsider custom servic suddenli chang minimum spend fine print refus refund even though term condit say non refund,1,1
"this platform anyhow ban my account, this is the worst platform,their only good are discount vouchers. Hope u dun ban my acc again.",platform anyhow ban account worst platform good discount voucher hope u dun ban acc,1,1
great service always!,great servic alway,5,0
Excellent customer service! App is massive n fairly laggy. Products descriptions still yet to improve. Sincere TQ!!,excel custom servic massiv n fairli laggi product descript still yet improv sincer tq,4,0
Good best,good best,5,0
Good,good,5,0
Isn't the UI a complete copy of Carousell? Otherwise the app is OK and some of the promotions are actually good,ui complet copi carousel otherwis ok promot actual good,3,1
"Really like shopee but its not buttery smooth, hope to see improvement",realli like butteri smooth hope see improv,3,1
good that release of money is done after recipient confirms receipt,good releas money done recipi confirm receipt,4,0
Best shopping app ever. Tho u need to be more alert on scammers.,best shop ever tho u need alert scammer,5,0
Not allowed to cancel the orders.,allow cancel order,4,0
"Shopping at shopee is good ...only some seller ,need alot time to delivery the item out...",shop good need alot time deliveri,5,0
shoppe has totally disappointed me with its cheat so called free delivery esp when i purchase in a large amt and they claim no stock. but after payment got stock jist to claim delivery fare. check woth thw shop ownee and they said ot has to ne shoppee problem. very very disappointed.,shopp total disappoint cheat call free deliveri esp purchas larg amt claim stock payment got stock jist claim deliveri fare check woth thw shop owne said ot ne problem disappoint,1,1
"Most of the items that I have bought quality is ok, except a few items being disappointed. Item sent don't tally with the description, sometime size is much more smaller than expected.",bought qualiti ok except disappoint sent talli descript sometim size much smaller expect,4,0
"When using Shopee you cannot use other apps and send Shopee to the backgroud. When you go back to continue with Shopee , it reloads to the main page and i have to search all over again. And i have to repeat the same action again and again. This is draining my data. You should reload to main page when i close your app not when app is still active.",use cannot use app send backgroud go back continu reload main page search repeat action drain data reload main page close still activ,2,1
easy to use,easi use,5,0
Cannot view anything now is there a bug or something???,cannot view anyth bug someth,2,1
Good & Easy,good easi,4,0
Fast and reliable,fast reliabl,5,0
"Love shopee delivery, they will call n make sure u not at home n give them a code to confirm.",love deliveri call n make sure u home n give code confirm,4,0
Nice shopping site,nice shop site,4,0
Easy to navigate. Hope some seller can response to the question directly. Not answer by somebody not related to the store.,easi navig hope respons question directli answer somebodi relat store,4,0
"The discount vouchers can be better (value too low), there is still room for improvement.",discount voucher better valu low still room improv,4,0
Great...!,great,4,0
I have encountered several dubious shady sellers since I started on Shopee about 1+ months ago. These sellers give Shopee a bad name. 1st seller sent me a message claiming the item is out of stock but I noticed it is still available but at a higher price! 2nd seller also claim another product is out of stock but the item continues to be put up for sale on Shopee. Also 'big thick bath towel' turned out to be only a small thin face towel. Many of Shopee's sellers are unreliable.,encount sever dubiou shadi sinc start month ago give name st sent messag claim stock notic still avail higher price nd also claim anoth product stock continu put sale also big thick bath towel turn small thin face towel mani unreli,1,1
No comment,comment,5,0
App doesn't verify my phone. Useless to me. I can't sell because of this,verifi phone useless sell,2,1
"Quite irritated to Road Bull, address and mobile number are given but always failed to deliver on time. If there is no person to received the parcel its must to contact the customer. Our dorm has a security office that they can leave the parcel, they will register only the item so that it is easy for us to identify the parcel.",quit irrit road bull address mobil number given alway fail deliv time person receiv parcel must contact custom dorm secur offic leav parcel regist easi us identifi parcel,3,1
Good,good,4,0
More diskoun I like it,diskoun like,4,0
Very Good,good,5,0
Good,good,4,0
Go deals on this platform. But bad Ninja Van delivery. Can deliver to wrong block and still update as successful delivery. Obviously never even verify if correct. Fortunately recepient was honest and contacted me to collect my parcel from them.,go deal platform ninja van deliveri deliv wrong block still updat success deliveri obvious never even verifi correct fortun recepi honest contact collect parcel,4,0
cant collect coins!,cant collect coin,1,1
"I can't login my own account since yesterday. I've tried to login using email, username, phone no, and sms but failed! I also have changed password twice and I unistalled and reinstalled but not help. The apps always says ""multiple users login detected"". Customer service gave standart answers not helping at all. I got an order on my store so I need to login. I also have money on my shopee wallet. Please help me ASAP.",login account sinc yesterday tri login use email usernam phone sm fail also chang password twice unistal reinstal help app alway say multipl user login detect custom servic gave standart answer help got order store need login also money wallet pleas help asap,1,1
